house_name,location,bedroom_count,bathroom_count,carport_count,price,land_area,building_area,jarak_ke_kota_km
Dijual rumah baru di pusat kota Bandung ,"Bandung Kidul, Bandung",4,4,1,2750000000.0,187,185,4.599998017
"Rumah Hitung Tanah Di Dekat Batununggal , Parakan , Cijagra ","Bandung Kidul, Bandung",4,3,1,1400000000.0,196,180,4.599998017
Rumah Tinggal di Komplek Batununggal Indah,"Bandung Kidul, Bandung",3,2,2,2900000000.0,200,170,4.599998017
Rumah Siap Huni Batununggal Buah Batu Soekarno Hatta Ref.03205 ,"Bandung Kidul, Bandung",3,2,0,2500000000.0,214,200,4.599998017
Jual Hotel Aktif bandung 50 Kmr,"Bandung Kidul, Bandung",50,50,0,28000000000.0,1000,1700,4.599998017
Rumah Bagus siap Huni,"Bandung Kulon, Bandung",3,3,0,1950000000.0,220,300,5.426703887
"Rumah 1 1 2 Lantai SHM di Komplek Bojong Raya , Bandung","Bandung Kulon, Bandung",7,2,2,2100000000.0,216,150,5.426703887
KEBANGETAN MURAHNYA RUMAH LUAS DALAM KOMPLEK CIJERAH BANDUNG,"Bandung Kulon, Bandung",3,1,1,850000000.0,178,140,5.426703887
Rumah Bisa Untuk Tempat Kerja Dekat Sekolah Pasar di Aksan,"Bandung Kulon, Bandung",3,1,3,4100000000.0,536,300,5.426703887
"Di jual cepat rumah sayap sudirman,","Bandung Kulon, Bandung",3,2,2,3500000000.0,303,150,5.426703887
"Bawa Hoki, Fengshui Bagus! Tinggal dan Usaha 1,5 lantai di Taman Holis Indah , Harga Bagus!","Bandung Kulon, Bandung",4,2,1,1120000000.0,96,108,5.426703887
Dijual Rumah Furnished Siap Huni Taman Holis Indah 2 Bandung,"Bandung Kulon, Bandung",4,3,0,5000000000.0,405,350,5.426703887
For Sale Rumah Di Taman Holis Indah 1 Kota Bandung,"Bandung Kulon, Bandung",3,2,0,1100000000.0,112,90,5.426703887
Dijual Rumah Tinggal Di Taman Holis Indah 1 Kota Bandung,"Bandung Kulon, Bandung",3,2,0,1300000000.0,96,140,5.426703887
10 Menit Ke Tol Pasirkoja Rumah di Cluster Ketapang Kencana Sudirman Area Suryani,"Bandung Kulon, Bandung",2,1,1,890000000.0,78,45,5.426703887
"Rumah Bagus Semi Furnished SHM di Sayap Soekarno Hatta , Bandung","Bandung Kulon, Bandung",2,1,2,890000000.0,78,45,5.426703887
Rumah Bagussiap Huni Nyaman SHM di Taman Holis Indah Bandung,"Bandung Kulon, Bandung",6,3,2,1800000000.0,153,140,5.426703887
Rumah Terawat Bagus Akses 2 Mobil SHM di Cijerah Kota Bandung,"Bandung Kulon, Bandung",3,1,2,1100000000.0,114,90,5.426703887
Rumah Hook Strategis Luas Dalam Komplek Di Jl.holis Kota Bandung,"Bandung Kulon, Bandung",4,3,4,3700000000.0,289,200,5.426703887
Rumah Murah Bandung Satu Ini Udah Sama Kolam Ikan Asik Banget,"Bandung Kulon, Bandung",3,2,1,600000000.0,72,88,5.426703887
Rumah Baru di Komplek Taman Holis Indah,"Bandung Kulon, Bandung",3,1,1,1020000000.0,86,76,5.426703887
Rumah di Caringin Bandung Kulon Jawa Barat ,"Bandung Kulon, Bandung",3,2,3,2200000000.0,200,132,5.426703887
Rumah Kontrakan 2 Pintu Bagus di Cijerah Bandung Kulon   ,"Bandung Kulon, Bandung",4,4,0,800000000.0,90,150,5.426703887
Dijual Rumah Tengah Kota Dekat Gedung Sate ,"Bandung Wetan, Bandung",6,4,5,41900000000.0,753,370,1.625303116
"RUMAH BISA USAHA DI WASTUKENCANA,  HARGA DIBAWAH NJOP MURAH...!!","Bandung Wetan, Bandung",0,0,0,9500000000.0,531,521,1.625303116
Rumah lama hitung tanah Butuh Renovasi di Sayap Riau Bandung ,"Bandung Wetan, Bandung",5,3,1,12500000000.0,273,250,1.625303116
"Rumah Tinggal Nyaman Beserta Isinya, Ada Usaha Kos Kosan Daerah Sayap Ahmad Yani","Bandung Wetan, Bandung",15,6,1,3000000000.0,225,400,1.625303116
Villa dago pakar bandung utara,"Bandung Wetan, Bandung",8,7,0,16000000000.0,750,850,1.625303116
TAMAN HOLIS INDAH,"Bandung Wetan, Bandung",3,3,0,2100000000.0,190,170,1.625303116
Rumah Bangunan Belanda Strategis Terawat di Sayap Riau Bandung,"Bandung Wetan, Bandung",7,4,4,23000000000.0,485,300,1.625303116
Rumah 2 Lantai di sayap Riau Siap Huni Terawat,"Bandung Wetan, Bandung",3,2,2,18500000000.0,540,600,1.625303116
Dijual Rumah Kos2an Aktif Full Siap Untung di Sayap Ahmad Yani,"Bandung Wetan, Bandung",11,11,0,2500000000.0,160,120,1.625303116
Rumah Tua di lokasi bisnis Tamansari Bandung 871m Tatoproperty,"Bandung Wetan, Bandung",3,1,4,26500000000.0,871,250,1.625303116
Ruko si Taman Taman sari 2 Lantai SHM Dago Cihampelas  Bandung ,"Bandung Wetan, Bandung",20,19,0,3850000000.0,146,300,1.625303116
Dijual Rumah Super Strategis Sayap Jalan Ahmad Yani Bandung Coock Untuk Usaha,"Bandung Wetan, Bandung",11,3,2,7750000000.0,390,265,1.625303116
Rumah Kos Kost di Kebon Bibit Dekat Itb 20 Kamar,"Bandung Wetan, Bandung",20,20,0,3850000000.0,146,310,1.625303116
Rumah Kost Elit Full Furnished Tamansari Bandung ,"Bandung Wetan, Bandung",20,20,1,3850000000.0,146,400,1.625303116
Dijual rumah cocok untuk usaha di Cipunagara kota bandung,"Bandung Wetan, Bandung",5,3,2,13900000000.0,409,279,1.625303116
Rumah Kost Kebon Bibit Dengan 20 Kamar Tidur di Dekat Itb,"Bandung Wetan, Bandung",20,20,0,3700000000.0,146,310,1.625303116
Rumah Hook Lux Singgasana Pradana Kota Bandung,"Bandung Wetan, Bandung",4,5,0,6900000000.0,286,525,1.625303116
Rumah Dijual Sayap Riau Bandung Nyaman Terawat,"Bandung Wetan, Bandung",4,2,2,7000000000.0,227,313,1.625303116
