house_name,location,bedroom_count,bathroom_count,carport_count,price,land_area,building_area (m2)
Dijual Rumah Hitung Tanah Di Kebon Manggu Kota Bandung,"Astanaanyar, Bandung",19,5,0,1100000000,99,190
Rumah di Jl sayap pagarsih 2 Lantai,"Astanaanyar, Bandung",2,1,0,500000000,50,71
Rumah baru homey 1 lantai dekat terminal Leuwipanjang ,"Astanaanyar, Bandung",3,2,1,2500000000,235,175
Dijual Turun Harga Rumah Minimalis Tengah Kota di Sayap Pajagalan,"Astanaanyar, Bandung",2,1,1,1300000000,118,100
Dijual Rumah 2 Lantai Pusat Kota Strategis di Karasak,"Astanaanyar, Bandung",2,2,0,985000000,101,160
Rumah Siap Huni 2 Lantai di Astana Anyar Bandung Kota,"Astanaanyar, Bandung",4,3,1,2500000000,96,192
"Rumah 2 Lantai Bagus Unfurnished SHM di Karasak, Bandung","Astanaanyar, Bandung",2,2,0,958000000,101,160
Rumah Itung Tanah di Pusat Kota Bandung,"Astanaanyar, Bandung",2,1,0,550000000,87,60
Rumah Luas Hook Siap Huni di Muara Baru Bandung,"Astanaanyar, Bandung",3,2,1,2600000000,234,137
"Rumah Sejuk Bikin Betah Lokasi Komplek Kurdi, Bandung","Astanaanyar, Bandung",3,3,0,1950000000,122,150
Terawat Banget Bikin Betah Dan Nyaman Tinggal di Rumah Komplek Kurdi Mohamad Toha Ini,"Astanaanyar, Bandung",4,3,1,3100000000,200,350
Rumah Main Road Astana Anyar Cocok Banget Untuk Usaha,"Astanaanyar, Bandung",3,1,0,1200000000,90,110
Rumah Minimalis 2 Lantai Tengah Kota Cluster Jatipermai Area Sayap Bkr Atau Sayap Soeta,"Astanaanyar, Bandung",4,3,0,2500000000,91,200
"Dijual Cepat Rumah Strategis di Komplek Jati Permai, Sayap Kurdi","Astanaanyar, Bandung",2,1,0,1600000000,97,153
Rumah Kost Dekat Pusat Kota Di Astanaanyar Bandung O2803,"Astanaanyar, Bandung",20,20,0,2170000000,157,252
Rumah Kost 2 Lantai Masuk Gang Kalipah Apo Roi Tinggi Bandung,"Astanaanyar, Bandung",24,8,0,2150000000,233,326
Dijual Rumah Cantik Terawat Di Jalan Natawijaya Bandung,"Astanaanyar, Bandung",3,2,0,1600000000,129,100
"Rumah Siap Huni di Pusat Kota di Astana Anyar, Bandung","Astanaanyar, Bandung",5,3,2,1900000000,106,240
Dijual Rumah Cantik Di Dalam Komplek Tegalega,"Astanaanyar, Bandung",3,2,0,1650000000,97,140
Murah !! Rumah pusat kota siap huni di Astanaanyar,"Astanaanyar, Bandung",5,3,2,1900000000,106,240
Rumah Dijual Modern Siap Huni di Astana Anyar,"Astanaanyar, Bandung",5,3,0,1900000000,106,240
Dijual Rumah di Komplek Muara Sari Bandung 2 Lantai,"Astanaanyar, Bandung",4,3,2,1700000000,157,145
Dijual Rumah Di Komplek Kurdi Bandung ,"Astanaanyar, Bandung",0,2,1,2850000000,200,150
Rumah harga terjangkau dan free desain hanya DI CLUSTER BUMI KRESNA ASRI LOH.KAPAN LAGI COBA?,"Astanaanyar, Bandung",2,1,1,150000000,60,36
"Rumah Cantik 2,5Lantai Siap Huni Pusat Kota Sayap Astana Anyar","Astanaanyar, Bandung",3,2,1,1550000000,75,140
Jual rumah kost pusat kota di Astana anyar bandung tengah,"Astanaanyar, Bandung",24,8,15,2800000000,233,326
Hotel Cantik Mewah Terawat Strategis Di Mohammad Toha,"Astanaanyar, Bandung",38,38,0,9400000000,724,1777
Rumah Cozy dan Asri di Sayap Astana Anyar,"Astanaanyar, Bandung",3,2,1,1550000000,75,140
Rumah 2 Lantai di Sayap Tegallega Bandung ,"Astanaanyar, Bandung",4,2,1,1650000000,97,140
Dijual rumah  di sayap Tegallega Bandung 2 Lantai,"Astanaanyar, Bandung",4,2,1,1650000000,97,140
Dijual Rumah Baru Minimalis Pagarsih Bandung,"Astanaanyar, Bandung",2,1,0,1600000000,181,68
Rumah Dijual Sayap Astana Anyar Bandung Tengah Kota,"Astanaanyar, Bandung",3,2,1,1550000000,75,140
Dijual Rumah Di Sayap Astanaanyar,"Astanaanyar, Bandung",1,1,0,350000000,70,70
Rumah SHM Bagus di jalan kurdi moh toha bandung,"Astanaanyar, Bandung",3,2,1,2500000000,180,150
"Rumah Dijual Semi Furnish 2 Lantai di Sayap Astanaanyar , Bandung","Astanaanyar, Bandung",3,2,1,1550000000,75,140
Rumah Tengah Kota Area Kopo Imanuel Astana Anyar Pasirkoja,"Astanaanyar, Bandung",3,2,1,1850000000,221,250
Jual Nego Rumah siap huni di Sayap Astana Anyar,"Astanaanyar, Bandung",5,3,2,1900000000,106,240
"Rumah Siap Huni Lokasi Bebas Banjir di H. Idrus, Pagarsih","Astanaanyar, Bandung",3,1,0,1500000000,91,80
Dijual Rumah Cantik dan Nyaman di Sayap Astana Anyar,"Astanaanyar, Bandung",3,2,0,1600000000,75,140
"Dijual Rumah Kosan di Pusat Kota Jl Karasak, Moh Toha","Astanaanyar, Bandung",20,20,0,1750000000,212,325
Rumah Siap Huni Mainroad Pajagalan Sayap Alun Alun Bandung,"Astanaanyar, Bandung",3,3,1,3950000000,127,250
"Rumah 2,5 Lantai Terawat Nyaman Dan Aman di Astana Anyar","Astanaanyar, Bandung",10,7,0,3900000000,225,450
"Rumah Lama Tengah Kota di Jl.astana Anyar, Bandung","Astanaanyar, Bandung",4,2,0,650000000,82,100
"Rumah Strategis di Karasak, Astana Anyar, Bandung Tengah","Astanaanyar, Bandung",2,2,1,1100000000,94,120
Jual Rumah Tengah Kota di Sayap Astana Anyar,"Astanaanyar, Bandung",5,4,0,12000000000,483,550
Hotel Aktif Bintang 3 Furnished Dekat Alun Alun Bandung,"Astanaanyar, Bandung",53,60,40,50000000000,1100,3000
Rumah 2.5 lantai di Karasak Utara Bandung,"Astanaanyar, Bandung",4,3,1,950000000,84,200
Dijual rumah belanda lokasi strategis Astanaanyar,"Astanaanyar, Bandung",5,4,30,33000000000,915,450
Rumah Langka Sangat Strategis di Sayap Astanaanyar Bandung Tengah,"Astanaanyar, Bandung",3,2,1,1600000000,75,140
"Rumah Nyaman Terawat Dekat Jalan Utama di Jati Permai, Inhoftank","Astanaanyar, Bandung",4,4,0,2500000000,131,200
"Dijual rumah cantik siap huni, lokasi tengah kota dekat Kurdi ( S )","Astanaanyar, Bandung",4,3,1,2500000000,121,200
Rumah Luas Dengan Taman di Komplek Taman Sakura,"Astanaanyar, Bandung",3,2,1,3250000000,421,165
Rumah Tinggal di Mainroad Pajagalan Bandung,"Astanaanyar, Bandung",4,3,2,3900000000,121,245
Jual rumah hitung tanah sayap cibadak bdg,"Astanaanyar, Bandung",0,0,1,6600000000,528,405
Terawat Banget Bikin Betah Dan Nyaman Tinggal di Rumah Komplek Kurdi Mohamad Toha Ini,"Astanaanyar, Bandung",4,3,1,3100000000,200,350
RUMAH KOKOH TERAWAT TENGAH KOTA BANDUNG SAYAP ASTANAANYAR PASIRKOJA,"Astanaanyar, Bandung",3,3,0,3600000000,127,260
Jarang Ada Rumah Sayap Astana Anyar Pusat Kota,"Astanaanyar, Bandung",3,2,0,1900000000,106,150
Rumah Modern Mewah Cocok Untuk Millenial di Karasak,"Astanaanyar, Bandung",2,2,1,1000000000,94,120
Rumah Area Kodya Dekat Ke Pusat Kota Bandung di Astana Anyar,"Astanaanyar, Bandung",3,2,0,1950000000,138,120
Dijual Rumah Astana Anyar Kopo Bojongloa,"Astanaanyar, Bandung",4,2,1,1570000000,150,124
Rumah Tinggal Siap Huni di Sayap Otista Bandung,"Astanaanyar, Bandung",2,3,2,5000000000,214,250
 Rumah Terawat Nyaman Dan Aman di Sayap Otista Bandung,"Astanaanyar, Bandung",3,3,5,2900000000,254,324
Rumah Bagus di Sayap Astana Anyar - Akses 1 mobil 2 Lantai SHM Selatan,"Astanaanyar, Bandung",2,1,0,690000000,107,99
" Rumah Bagus SHM - Sertifikat Hak Milik di Astana anyar, Astanaanyar","Astanaanyar, Bandung",2,1,0,750000000,107,99
Rumah Baru Renovasi di Sayap Kalipah Apo,"Astanaanyar, Bandung",4,4,0,2200000000,91,167
Rumah Kost Full Terisi di Astana Anyar,"Astanaanyar, Bandung",12,12,0,1000000000,119,240
Turun Harga Dahsyat Rumah Usaha Tengah Kota Area Astana Anyar,"Astanaanyar, Bandung",5,2,0,3700000000,311,265
Rumah Terawat di Komplek Kurdi,"Astanaanyar, Bandung",4,3,1,3100000000,200,350
Rumah Usaha di Haji Safari astana anyar SHM,"Astanaanyar, Bandung",3,1,0,2400000000,313,400
Rumah Karanganyar ,"Astanaanyar, Bandung",1,1,0,11000000000,355,200
DIJUAL RUMAH SAYAP ASTANA ANYAR ,"Astanaanyar, Bandung",3,2,1,1600000000,130,110
Rumah Pusat Kota Daerah Cibadak Bandung,"Astanaanyar, Bandung",4,2,0,950000000,128,100
Dijual rumah tengah kota di pabaki,"Astanaanyar, Bandung",2,1,0,560000000,55,70
Dijual Rumah Terawat Belanda kondisi bagus,"Astanaanyar, Bandung",5,4,5,38000000000,915,450
Jual Rumah Minimalis 3 Lantai Siap Huni Dekat Tegalega di Sayap Moh Toha,"Astanaanyar, Bandung",6,5,2,4500000000,120,250
"Rumah dekat Astanaanyar, Pasir Koja, Pagarsih","Astanaanyar, Bandung",2,1,0,1100000000,110,90
RUMAH SIAP HUNI DI KURDI,"Astanaanyar, Bandung",4,3,0,2500000000,212,238
Rumah Pusat Kota Bebas Banjir,"Astanaanyar, Bandung",3,1,1,875000000,122,110
Rumah Dan Kost-koatan Aktif Lokasi Sekitar Lewipanjang,"Astanaanyar, Bandung",23,5,3,5200000000,520,1060
Rumah One Gate Area Antapani 2 Lantai SHM Bagus,"Antapani, Bandung",4,3,1,1600000000,121,150
RUMAH MURAH BANDUNG KOTA Di PURI DAGO Jalan Jakarta  Antapani,"Antapani, Bandung",2,1,1,1150000000,102,51
RUMAH SHM 2LANTAI SANGAT TERAWAT  BAGUS DI ANTAPANI KOTA BANDUNG,"Antapani, Bandung",3,3,2,1650000000,122,160
Rumah Terawat Siap Huni di Puri Dago Antapani Bandung Kota,"Antapani, Bandung",4,3,1,1600000000,121,78
Rumah Komplek Citra Antapani jual cepat,"Antapani, Bandung",7,7,4,4000000000,399,300
Rumah Siap Huni 2 Lantai area Antapani (full renovated),"Antapani, Bandung",4,3,2,2250000000,109,202
Rumah 2 Lantai Minimalis Antapani Bandung,"Antapani, Bandung",3,2,0,1340000000,91,90
Rumah Mewah Super Lega di Cluster Eksklusif Antapani ,"Antapani, Bandung",5,2,2,4000000000,399,300
Rumah terawat Bagus di Sayap Sukanagara Antapani 2 Lantai SHM,"Antapani, Bandung",4,4,1,2590000000,330,200
"Rumah Siap Huni Komplek Tanjusari Residence Area Antapani,bandung","Antapani, Bandung",2,1,1,1800000000,130,80
Rumah siap huni di komplek mitra dago antapani,"Antapani, Bandung",4,2,1,1700000000,136,100
"Rumah Murah 2 Lantai SHM di Antapani, Bandung","Antapani, Bandung",4,2,2,1500000000,120,200
Rumah Siap Huni 2 Lantai Kondisi Bagus SHM Daerah Antapani,"Antapani, Bandung",6,4,1,4200000000,200,300
Rumah Murah Dalam Cluster Elit Antapani Bagus Siap Huni,"Antapani, Bandung",2,2,2,1100000000,150,120
"Dijual Cepat, Rumah Siap Huni, Mini Cluster One Gate Antapani 850jt Jarang Ada","Antapani, Bandung",2,1,1,850000000,104,95
Rumah Nyaman Strategis Di Antapani Sulaksana Bandung,"Antapani, Bandung",4,3,3,3500000000,256,237
"Rumah 2 Lantai di Graceland Residence, Bandung","Antapani, Bandung",3,2,1,1800000000,168,200
Dijual Rumah 2 Lantai Bagus Siap Huni di Komplek Belleza Antapani,"Antapani, Bandung",3,2,0,2350000000,100,170
Rumah Setra Dago Antapani Full Renov Siap Huni Pasti Cocok,"Antapani, Bandung",3,3,1,1390000000,90,88
"Jual Cepat Rumah Main Road Komplek Tanjung Sari Asri, Antapani, Bandung, bisa sekalian Usaha","Antapani, Bandung",3,2,2,1500000000,115,98
Perumahan Antapani - Bangunan Bagus & Sirkulasi Udara Bagus - Turun Harga Jual Cepat (Good Invest),"Antapani, Bandung",5,3,3,2200000000,174,240
JUAL RUMAH 2 LANTAI BARU RENOV di ANTAPANI BANDUNG,"Antapani, Bandung",4,3,1,3150000000,215,140
Caya House Antapani Rumah 2lt Mewah di Antapani Dkt Padasuka Kiaracondong,"Antapani, Bandung",3,2,1,1520000000,116,110
"Rumah 2 Lantai di Mitra Dago Parahyangan, Bandung Siap Huni","Antapani, Bandung",3,3,1,3500000000,195,300
" 2 Unit Bersebelahan, Rumah Baru Bagus Banget Daerah Antapani","Antapani, Bandung",3,2,1,1300000000,96,155
Rumah Nan Cantik Luas Area Antapani Layak Jadi Pilihanmu,"Antapani, Bandung",4,3,1,2500000000,260,160
Rumah Bagus Dan Nyaman 2 Lantai di Cluster Area Antapani Lokasi Sangat Strategis,"Antapani, Bandung",3,2,2,1300000000,86,84
DIJUAL BU RUMAH CLUSTER ANTAPANI CITY 700 JT AN JARANG ADA..MURAH !!!,"Antapani, Bandung",2,1,1,785000000,72,50
Dijual mendesak rumah antapani dalam cluster hanya 800 juta an saja full furnish,"Antapani, Bandung",3,0,1,850000000,104,120
Dijual Segera Rumah Murah Bangunan Siap Huni di Cluster Antapani,"Antapani, Bandung",2,2,1,1100000000,150,120
Dijual Rumah Bagus Komplek TSA Antapani Dekat Smu 23,"Antapani, Bandung",4,4,2,2250000000,135,225
Rumah Indent Areal Sindangsari Antapani Kota Bandung,"Antapani, Bandung",0,0,0,750000000,70,36
Dijual Rumah Siap Huni Furnish Cluster Antapani Dekat Puri Dago mas,"Antapani, Bandung",3,2,1,850000000,104,90
Rumah Hook Nyaman Minimalis Strategis Siap Huni Antapani Bandung,"Antapani, Bandung",5,4,1,1350000000,135,200
